Week,Tier 4,Tier 5,Spend,RB Conv,RB CPO,AOV,ROAS
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - 21df - 21dayfix-simple-static - dp (buy now)_6.21.24,385.910003662109,3.03610413486601,127.10697213260772,21.042521373852317,0.1655497021194018
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - 21day-ugc-starr1 - dp (buy now)_6.21.24,132.540000457316,0.0,,,
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - 21day-ugc-starr2 - dp (buy now)_6.21.24,115.880001068115,0.0,,,
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set Total,,634.33000518754,3.03610413486601,208.92893557339545,21.042521373852317,0.1007161660786818
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - p90x-justyou-static - dp (buy now)_6.21.24,366.019989013671,0.0,,,
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-nogym1-mgfx - dp (buy now)_6.21.24,95.6199989318847,0.508835934897741,187.91911571870628,106.2073069358766,0.5651756423484715
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-a15-ugc-creator-stephcurrie - dp (buy now)_6.21.24,90.810001373291,0.0,,,
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-simplecommit-mgfx - dp (buy now)_6.21.24,55.2900009155273,0.0,,,
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-breakcycle-mgfx - dp (buy now)_6.21.24,16.3199996948242,0.0,,,
6/17/24-6/23/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set Total,,624.0599899291983,0.508835934897741,1226.4463791351793,106.2073069358766,0.0865975950866828
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - p90x-justyou-static - dp (buy now)_6.21.24,465.910002708435,1.96156423982029,237.5196250269732,38.70165419238076,0.1629408693617873
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-a15-ugc-creator-stephcurrie - dp (buy now)_6.21.24,451.459991455078,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - p90x-justyou-static - v2 copy test - dp (3 low payments)_6.24.24,405.69999885559,1.28081314516628,316.75190123296284,0.0,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-nogym1-mgfx - dp (buy now)_6.21.24,251.890001296997,1.68432150105014,149.54983424479752,39.45671389298553,0.2638365605166702
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-a12-pfc - dp (buy now)_6.28.24,150.25,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-simplecommit-mgfx - v2 copy test- dp (3 low payments)_6.24.24,136.210000611841,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-simplecommit-mgfx - dp (buy now)_6.21.24,130.819999098777,0.0,,,
6/24/24-6/30/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-nogym1-mgfx - v2 copy test - dp (3 low payments)_6.24.24,69.7399989366531,0.0,,,
